,Knowledge
0,K2 How to access and extract data from a range of already identified sources
1,K3 How to collate and format data in line with industry standards
2,K6 How to undertake blending of data from multiple sources*
3,"K7 Algorithms, and how they work using a step-by-step solution to a problem, or rules to follow to"
4,solve the problem and the potential to use automation
5,"K8 How to filter details, focusing on information relevant to the data project"
6,K9 Basic statistical methods and simple data modelling to extract relevant data and normalise
7,unstructured data
